tempat;alamat;kategori;rating;harga;desk
Nasi Uduk Kebon Kacang;Jl. Kebon Kacang IV No. 15, Jakarta Pusat;Nasi Uduk;4.6;15.000-50.000;Warung populer di jakarta pusat dengan nasi uduk khas dan lauk yang bervariasi.
Gado-Gado Bonbin;Jl. Cikini IV No. 5, Jakarta Pusat;Gado-Gado;4.5;25.000-50.000;Restoran ikonik dengan gado-gado khas Jakarta yang legendaris.
Sate Khas Senayan;Jl. Senayan No. 7, Jakarta Selatan;Sate;4.7;65.000-85.000;Restoran terkenal dengan sate ayam dan kambing yang lezat di jakarta selatan.
Ragusa Es Italia;Jl. Veteran I No. 10, Jakarta Pusat;Es Krim;4.6;35.000-200.000;Restoran vintage yang menyajikan es krim Italia tradisional di jakarta pusat.
Bunga Rampai;Jl. Teuku Cik Ditiro No. 35, Jakarta Pusat;Tradisional;4.4;35.000-200.000;Restoran elegan dengan menu khas Indonesia di jakarta pusat.
Abuba Steak;Jl. Cipete Raya No. 17, Jakarta Selatan;Steak;4.8;65.000-250.000;Tempat steak favorit dengan suasana kasual di jakarta selatan.
Taman Santap Rumah Kayu;Jl. Lingkar Luar Barat No. 3, Jakarta Barat;Tradisional;4.5;35.000-200.000;Restoran keluarga dengan suasana alam yang nyaman di jakarta barat.
Dapur Solo;Jl. Bendungan Hilir No. 27, Jakarta Pusat;Masakan Jawa;4.7;25.000-100.000;Restoran dengan pilihan menu masakan Jawa yang autentik di jakarta pusat.
Rawon Setan;Jl. Embong Malang No. 78/I, Surabaya;Rawon;4.8;25.000-80.000;Warung legendaris surabay dengan rawon yang kaya rempah dan daging empuk.
Depot Bu Rudy;Jl. Dharmahusada No. 140, Surabaya;Masakan Jawa;4.6;65.000-85.000;Restoran di surabaya yang terkenal dengan sambal bawang pedas dan menu khas Jawa.
Sate Klopo Ondomohen;Jl. Walikota Mustajab No. 36, Surabaya;Sate;4.7;15.000-50.000;Sate legendaris surabaya dengan taburan kelapa yang gurih dan daging empuk.
Lontong Balap Pak Gendut;Jl. Kranggan No. 60, Surabaya;Lontong Balap;4.5;25.000-50.000;Hidangan khas Surabaya dengan tahu, tauge, dan lentho yang lezat.
Toko Oen;Jl. Pemuda No. 52, Surabaya;Kafe;4.4;65.000-85.000;Restoran vintage yang menyajikan es krim dan makanan ala Eropa di kota surabaya.
Bebek Sinjay;Jl. Dharmahusada Indah Timur, Surabaya;Bebek;4.8;35.000-200.000;Tempat viral di surabaya untuk menikmati bebek goreng dengan sambal pencit.
Rujak Cingur Ahmad Jais;Jl. Ahmad Jais No. 40, Surabaya;Rujak Cingur;4.6;35.000-200.000;Rujak cingur khas surabaya dengan bumbu petis yang otentik dan segar.
Warung Bu Kris;Jl. Tenggilis Utara No. 1, Surabaya;Masakan Sunda;4.7;65.000-250.000;Warung makan di surabaya dengan berbagai menu penyetan khas.
Zangrandi Ice Cream;Jl. Yos Sudarso No. 15, Surabaya;Es Krim;4.5;35.000-200.000;Restoran viral di surabaya dengan es krim khas Surabaya sejak zaman kolonial.
Boncafé;Jl. Manyar Kertoarjo No. 41, Surabaya;Steak;4.6;25.000-100.000;Restoran steak di surabaya dengan suasana modern dan rasa yang lezat.
